SP80053ControlDetailIndex,SP80053ID,SP80053ControlDetailID,SP80053ControlDetailEnhancement,SP80053ControlDetailEnhancementID,SP80053ControlDetailEnhancementTitle,SP80053ControlDetailShortTitle,SP80053ControlDetailDescription,SP80053ControlDetailAssignment,SP80053ControlDetailTier,SP80053ControlDetailDesignation,SP80053ControlDetailSupplementalGuidance,SP80053ControlDetailReference,SP80053ControlDetailPriority,SP80053ControlDetailAssurance,SP80053ControlDetailBaseline,SP80053ControlDetailBaselineMod,SP80053ControlDetailBaselineHigh,SP80053ControlIndex
1258,SC-31b,31b,0,,,,The organization estimates the maximum bandwidth of those channels.,,Organization,,,,P0,1,0,0,0,212
1259,SC-32,32,0,,,,The organization partitions the information system into [Assignment: organization-defined information system components] residing in separate physical domains or environments based on [Assignment: organization-defined circumstances for physical separation of components].,Assignment: organization-defined information system components,Organization,,,,P0,1,0,0,0,213
1261,SC-34 (1),34 (1),1,1,No Writable Storage,No Writable Storage,The organization employs [Assignment: organization-defined information system components] with no writeable storage that is persistent across component restart or power on/off.,Assignment: organization-defined information system components,Organization,,,,P0,1,0,0,0,214
1262,SC-34 (2),34 (2),1,2,Integrity Protection / Read-Only Media,Integrity Protection / Read-Only Media,The organization protects the integrity of information prior to storage on read-only media and controls the media after such information has been recorded onto the media.,,Organization,,,,P0,1,0,0,0,214
1263,SC-34 (3)(a),34 (3)(a),1,(3)(a),Hardware-Based Protection,Hardware-Based Protection,"The organization employs hardware-based, write-protect for [Assignment: organization-defined information system firmware components].",Assignment: organization-defined information system firmware components,Organization,,,,P0,1,0,0,0,214
1264,SC-34 (3)(b),34 (3)(b),1,(3)(b),Hardware-Based Protection,Hardware-Based Protection,The organization implements specific procedures for [Assignment: organization-defined authorized individuals] to manually disable hardware write-protect for firmware modifications and re-enable the write-protect prior to returning to operational mode.,Assignment: organization-defined authorized individuals,Organization,,,,P0,1,0,0,0,214
1265,SC-34a,34a,0,,,,"The information system at [Assignment: organization-defined information system components] loads and executes the operating environment from hardware-enforced, read-only media.",Assignment: organization-defined information system components,Information System,,,,P0,1,0,0,0,214
1266,SC-34b,34b,0,,,,"The information system at [Assignment: organization-defined information system components] loads and executes [Assignment: organization-defined applications] from hardware-enforced, read-only media.",Assignment: organization-defined information system components,Information System,,,,P0,1,0,0,0,214
1267,SC-35,35,0,,,,The information system includes components that proactively seek to identify malicious websites and/or web-based malicious code.,,Information System,,,,P0,0,0,0,0,215
1268,SC-36,36,0,,,,The organization distributes [Assignment: organization-defined processing and storage] across multiple physical locations.,Assignment: organization-defined processing and storage,Organization,,,,P0,1,0,0,0,216
1269,SC-36 (1),36 (1),1,1,Polling Techniques,Polling Techniques,"The organization employs polling techniques to identify potential faults, errors, or compromises to [Assignment: organization-defined distributed processing and storage components].",Assignment: organization-defined distributed processing and storage components,Organization,,,,P0,1,0,0,0,216
1270,SC-37,37,0,,,,"The organization employs [Assignment: organization-defined out-of-band channels] for the physical delivery or electronic transmission of [Assignment: organization-defined information, information system components, or devices] to [Assignment: organization-defined individuals or information systems].",Assignment: organization-defined out-of-band channels,Organization,,,,P0,1,0,0,0,217
1271,SC-37 (1),37 (1),1,1,Ensure Delivery / Transmission,Ensure Delivery / Transmission,"The organization employs [Assignment: organization-defined security safeguards] to ensure that only [Assignment: organization-defined individuals or information systems] receive the [Assignment: organization-defined information, information system components, or devices].",Assignment: organization-defined security safeguards,Organization,,,,P0,1,0,0,0,217
1272,SC-38,38,0,,,,The organization employs [Assignment: organization-defined operations security safeguards] to protect key organizational information throughout the system development life cycle.,Assignment: organization-defined operations security safeguards,Organization,,,,P0,1,0,0,0,218
1273,SC-39,39,0,,,,The information system maintains a separate execution domain for each executing process.,,Information System,,,,P1,1,1,1,1,219
1274,SC-39 (1),39 (1),1,1,Hardware Separation,Hardware Separation,The information system implements underlying hardware separation mechanisms to facilitate process separation.,,Information System,,,,P1,1,0,0,0,219
1275,SC-39 (2),39 (2),1,2,Thread Isolation,Thread Isolation,The information system maintains a separate execution domain for each thread in [Assignment: organization-defined multi-threaded processing].,Assignment: organization-defined multi-threaded processing,Information System,,,,P1,1,0,0,0,219
1276,SC-4,4,0,,,,The information system prevents unauthorized and unintended information transfer via shared system resources.,,Information System,,,,P1,0,0,1,1,187
1277,SC-4 (2),4 (2),1,2,Periods Processing,Periods Processing,The information system prevents unauthorized information transfer via shared resources in accordance with [Assignment: organization-defined procedures] when system processing explicitly switches between different information classification levels or security categories.,Assignment: organization-defined procedures,Information System,,,,P1,0,0,0,0,187
1278,SC-40,40,0,,,,The information system protects external and internal [Assignment: organization-defined wireless links] from [Assignment: organization-defined types of signal parameter attacks or references to sources for such attacks].,Assignment: organization-defined wireless links,Information System,,,,P0,0,0,0,0,220
1279,SC-40 (1),40 (1),1,1,Electromagnetic Interference,Electromagnetic Interference,The information system implements cryptographic mechanisms that achieve [Assignment: organization-defined level of protection] against the effects of intentional electromagnetic interference.,Assignment: organization-defined level of protection,Information System,,,,P0,0,0,0,0,220
1280,SC-40 (2),40 (2),1,2,Reduce Detection Potential,Reduce Detection Potential,The information system implements cryptographic mechanisms to reduce the detection potential of wireless links to [Assignment: organization-defined level of reduction].,Assignment: organization-defined level of reduction,Information System,,,,P0,0,0,0,0,220
1281,SC-40 (3),40 (3),1,3,Imitative Or Manipulative Communications Deception,Imitative Or Manipulative Communications Deception,The information system implements cryptographic mechanisms to identify and reject wireless transmissions that are deliberate attempts to achieve imitative or manipulative communications deception based on signal parameters.,,Information System,,,,P0,0,0,0,0,220
1282,SC-40 (4),40 (4),1,4,Signal Parameter Identification,Signal Parameter Identification,The information system implements cryptographic mechanisms to prevent the identification of [Assignment: organization-defined wireless transmitters] by using the transmitter signal parameters.,Assignment: organization-defined wireless transmitters,Information System,,,,P0,0,0,0,0,220
1283,SC-41,41,0,,,,The organization physically disables or removes [Assignment: organization-defined connection ports or input/output devices] on [Assignment: organization-defined information systems or information system components].,Assignment: organization-defined connection ports or input/output devices,Organization,,,,P0,0,0,0,0,221
1285,SC-42 (1),42 (1),1,1,Reporting To Authorized Individuals Or Roles,Reporting To Authorized Individuals Or Roles,The organization ensures that the information system is configured so that data or information collected by the [Assignment: organization-defined sensors] is only reported to authorized individuals or roles.,Assignment: organization-defined sensors,Organization,,,,P0,0,0,0,0,222
1286,SC-42 (2),42 (2),1,2,Authorized Use,Authorized Use,"The organization employs the following measures: [Assignment: organization-defined measures], so that data or information collected by [Assignment: organization-defined sensors] is only used for authorized purposes.",Assignment: organization-defined measures,Organization,,,,P0,0,0,0,0,222
1287,SC-42 (3),42 (3),1,3,Prohibit Use Of Devices,Prohibit Use Of Devices,"The organization prohibits the use of devices possessing [Assignment: organization-defined environmental sensing capabilities] in [Assignment: organization-defined facilities, areas, or systems].",Assignment: organization-defined environmental sensing capabilities,Organization,,,,P0,0,0,0,0,222
1288,SC-42a,42a,0,,,,The information system prohibits the remote activation of environmental sensing capabilities with the following exceptions: [Assignment: organization-defined exceptions where remote activation of sensors is allowed].,Assignment: organization-defined exceptions where remote activation of sensors is allowed,Information System,,,,P0,0,0,0,0,222
1289,SC-42b,42b,0,,,,The information system provides an explicit indication of sensor use to [Assignment: organization-defined class of users].,Assignment: organization-defined class of users,Information System,,,,P0,0,0,0,0,222
1291,SC-43a,43a,0,,,,The organization establishes usage restrictions and implementation guidance for [Assignment: organization-defined information system components] based on the potential to cause damage to the information system if used maliciously.,Assignment: organization-defined information system components,Organization,,,,P0,0,0,0,0,223
1292,SC-43b,43b,0,,,,"The organization authorizes, monitors, and controls the use of such components within the information system.",,Organization,,,,P0,0,0,0,0,223
1293,SC-44,44,0,,,,"The organization employs a detonation chamber capability within [Assignment: organization-defined information system, system component, or location].","Assignment: organization-defined information system, system component, or location",Organization,,,,P0,0,0,0,0,224
1294,SC-5,5,0,,,Implementation Of Denial Of Service Protections,The information system protects against or limits the effects of the following types of denial of service attacks: [Assignment: organization-defined types of denial of service attacks or references to sources for such information] by employing [Assignment: organization-defined security safeguards].,Assignment: organization-defined types of denial of service attacks or references to sources for such information,Information System,,,,P1,0,1,1,1,188
1295,SC-5 (1),5 (1),1,1,Restrict Internal Users,Restrict Internal Users,The information system restricts the ability of individuals to launch [Assignment: organization-defined denial of service attacks] against other information systems.,Assignment: organization-defined denial of service attacks,Information System,,,,P1,0,0,0,0,188
1296,SC-5 (2),5 (2),1,2,Excess Capacity / Bandwidth / Redundancy,Excess Capacity / Bandwidth / Redundancy,"The information system manages excess capacity, bandwidth, or other redundancy to limit the effects of information flooding denial of service attacks.",,Information System,,,,P1,0,0,0,0,188
1297,SC-5 (3)(a),5 (3)(a),1,(3)(a),Detection / Monitoring,Denial of Service Detection,The organization employs [Assignment: organization-defined monitoring tools] to detect indicators of denial of service attacks against the information system.,Assignment: organization-defined monitoring tools,Organization,,,,P1,0,0,0,0,188
1298,SC-5 (3)(b),5 (3)(b),1,(3)(b),Detection / Monitoring,Denial of Service Monitoring,The organization monitors [Assignment: organization-defined information system resources] to determine if sufficient resources exist to prevent effective denial of service attacks.,Assignment: organization-defined information system resources,Organization,,,,P1,0,0,0,0,188
1299,SC-6,6,0,,,,The information system protects the availability of resources by allocating [Assignment: organization-defined resources] by [Selection (one or more); priority; quota; [Assignment: organization-defined security safeguards]].,Assignment: organization-defined resources,Information System,,,,P0,1,0,0,0,189
1301,SC-7 (10),7 (10),1,10,Prevent Unauthorized Exfiltration,Prevent Unauthorized Exfiltration,The organization prevents the unauthorized exfiltration of information across managed interfaces.,,Organization,,,,P1,0,0,0,0,190
1302,SC-7 (11),7 (11),1,11,Restrict Incoming Communications Traffic,Restrict Incoming Communications Traffic,The information system only allows incoming communications from [Assignment: organization-defined authorized sources] to be routed to [Assignment: organization-defined authorized destinations].,Assignment: organization-defined authorized sources,Information System,,,,P1,0,0,0,0,190
1303,SC-7 (12),7 (12),1,12,Host-Based Protection,Host-Based Protection,The organization implements [Assignment: organization-defined host-based boundary protection mechanisms] at [Assignment: organization-defined information system components].,Assignment: organization-defined host-based boundary protection mechanisms,Organization,,,,P1,0,0,0,0,190
1304,SC-7 (13),7 (13),1,13,Isolation Of Security Tools / Mechanisms / Support Components,Isolation Of Security Tools / Mechanisms / Support Components,"The organization isolates [Assignment: organization-defined information security tools, mechanisms, and support components] from other internal information system components by implementing physically separate subnetworks with managed interfaces to other components of the system.","Assignment: organization-defined information security tools, mechanisms, and support components",Organization,,,,P1,0,0,0,0,190
1305,SC-7 (14),7 (14),1,14,Protects Against Unauthorized Physical Connections,Protects Against Unauthorized Physical Connections,The organization protects against unauthorized physical connections at [Assignment: organization-defined managed interfaces].,Assignment: organization-defined managed interfaces,Organization,,,,P1,0,0,0,0,190
1306,SC-7 (15),7 (15),1,15,Route Privileged Network Accesses,Route Privileged Network Accesses,"The information system routes all networked, privileged accesses through a dedicated, managed interface for purposes of access control and auditing.",,Information System,,,,P1,0,0,0,0,190
1307,SC-7 (16),7 (16),1,16,Prevent Discovery Of Components / Devices,Prevent Discovery Of Components / Devices,The information system prevents discovery of specific system components composing a managed interface.,,Information System,,,,P1,0,0,0,0,190
1308,SC-7 (17),7 (17),1,17,Automated Enforcement Of Protocol Formats,Automated Enforcement Of Protocol Formats,The information system enforces adherence to protocol formats.,,Information System,,,,P1,0,0,0,0,190
1309,SC-7 (18),7 (18),1,18,Fail Secure,Fail Secure,The information system fails securely in the event of an operational failure of a boundary protection device.,,Information System,,,,P1,1,0,0,1,190
1310,SC-7 (19),7 (19),1,19,Blocks Communication From Non-Organizationally Configured Hosts,Blocks Communication From Non-Organizationally Configured Hosts,The information system blocks both inbound and outbound communications traffic between [Assignment: organization-defined communication clients] that are independently configured by end users and external service providers.,Assignment: organization-defined communication clients,Information System,,,,P1,0,0,0,0,190
1311,SC-7 (20),7 (20),1,20,Dynamic Isolation / Segregation,Dynamic Isolation / Segregation,The information system provides the capability to dynamically isolate/segregate [Assignment: organization-defined information system components] from other components of the system.,Assignment: organization-defined information system components,Information System,,,,P1,0,0,0,0,190
1312,SC-7 (21),7 (21),1,21,Isolation Of Information System Components,Isolation Of Information System Components,The organization employs boundary protection mechanisms to separate [Assignment: organization-defined information system components] supporting [Assignment: organization-defined missions and/or business functions].,Assignment: organization-defined information system components,Organization,,,,P1,1,0,0,1,190
1313,SC-7 (22),7 (22),1,22,Separate Subnets For Connecting To Different Security Domains,Separate Subnets For Connecting To Different Security Domains,"The information system implements separate network addresses (i.e., different subnets) to connect to systems in different security domains.",,Information System,,,,P1,1,0,0,0,190
1314,SC-7 (23),7 (23),1,23,Disable Sender Feedback On Protocol Validation Failure,Disable Sender Feedback On Protocol Validation Failure,The information system disables feedback to senders on protocol format validation failure.,,Information System,,,,P1,0,0,0,0,190
1315,SC-7 (3),7 (3),1,3,Access Points,Access Points,The organization limits the number of external network connections to the information system.,,Organization,,,,P1,0,0,1,1,190
1316,SC-7 (4)(a),7 (4)(a),1,(4)(a),External Telecommunications Services,Managed Interfaces For Telecommunication Services,The organization implements a managed interface for each external telecommunication service;,,Organization,,,,P1,0,0,1,1,190
1317,SC-7 (4)(b),7 (4)(b),1,(4)(b),External Telecommunications Services,Traffic Flow Policy,The organization establishes a traffic flow policy for each managed interface;,,Organization,,,,P1,0,0,1,1,190
1318,SC-7 (4)(c),7 (4)(c),1,(4)(c),External Telecommunications Services,Confidentiality and Integrity Of Transmission,The organization protects the confidentiality and integrity of the information being transmitted across each interface;,,Organization,,,,P1,0,0,1,1,190
1319,SC-7 (4)(d),7 (4)(d),1,(4)(d),External Telecommunications Services,Exception Documentation,The organization documents each exception to the traffic flow policy with a supporting mission/business need and duration of that need,,Organization,,,,P1,0,0,1,1,190
1320,SC-7 (4)(e),7 (4)(e),1,(4)(e),External Telecommunications Services,Exception Reviews,The organization reviews exceptions to the traffic flow policy [Assignment: organization-defined frequency] and removes exceptions that are no longer supported by an explicit mission/business need.,Assignment: organization-defined frequency,Organization,,,,P1,0,0,1,1,190
1321,SC-7 (5),7 (5),1,5,Deny By Default / Allow By Exception,Deny By Default / Allow By Exception,"The information system at managed interfaces denies network communications traffic by default and allows network communications traffic by exception (i.e., deny all, permit by exception).",,Information System,,,,P1,0,0,1,1,190
1322,SC-7 (7),7 (7),1,7,Prevent Split Tunneling For Remote Devices,Prevent Split Tunneling For Remote Devices,"The information system, in conjunction with a remote device, prevents the device from simultaneously establishing non-remote connections with the system and communicating via some other connection to resources in external networks.",,Information System,,,,P1,0,0,1,1,190
1323,SC-7 (8),7 (8),1,8,Route Traffic To Authenticated Proxy Servers,Route Traffic To Authenticated Proxy Servers,The information system routes [Assignment: organization-defined internal communications traffic] to [Assignment: organization-defined external networks] through authenticated proxy servers at managed interfaces.,Assignment: organization-defined internal communications traffic,Information System,,,,P1,0,0,0,1,190
1324,SC-7 (9)(a),7 (9)(a),1,(9)(a),Restrict Threatening Outgoing Communications Traffic,Detect And Deny Outgoing Threats,The information system detects and denies outgoing communications traffic posing a threat to external information systems,,Information System,,,,P1,0,0,0,0,190
1325,SC-7 (9)(b),7 (9)(b),1,(9)(b),Restrict Threatening Outgoing Communications Traffic,Outgoing Threat Audits,The information system audits the identity of internal users associated with denied communications.,,Information System,,,,P1,0,0,0,0,190
1326,SC-7a,7a,0,,,Monitored and Controlled Communications At Boundary,The information system monitors and controls communications at the external boundary of the system and at key internal boundaries within the system.,,Information System,,,,P1,0,1,1,1,190
1327,SC-7b,7b,0,,,Isolation of Publically Accessable Components,The information system implements subnetworks for publicly accessible system components that are [Selection: physically; logically] separated from internal organizational networks.,Selection: physically; logically,Information System,,,,P1,0,1,1,1,190
1328,SC-7c,7c,0,,,Managed Interfaces for External Connections,The information system connects to external networks or information systems only through managed interfaces consisting of boundary protection devices arranged in accordance with an organizational security architecture.,,Information System,,,,P1,0,1,1,1,190
1329,SC-8,8,0,,,Confidentiality And Integrity Protection For Transmitted Data,The information system protects the [Selection (one or more): confidentiality; integrity] of transmitted information.,Selection (one or more): confidentiality; integrity,Information System,,,,P1,0,0,1,1,191
1330,SC-8 (1),8 (1),1,1,Cryptographic Or Alternate Physical Protection,Cryptographic Protection Implementation,The information system implements cryptographic mechanisms to [Selection (one or more): prevent unauthorized disclosure of information; detect changes to information] during transmission unless otherwise protected by [Assignment: organization-defined alternative physical safeguards].,Selection (one or more): prevent unauthorized disclosure of information; detect changes to information,Information System,,,,P1,0,0,1,1,191
1331,SC-8 (2),8 (2),1,2,Pre / Post Transmission Handling,Pre / Post Transmission Handling,The information system maintains the [Selection (one or more): confidentiality; integrity] of information during preparation for transmission and during reception.,Selection (one or more): confidentiality; integrity,Information System,,,,P1,0,0,0,0,191
1332,SC-8 (3),8 (3),1,3,Cryptographic Protection For Message Externals,Cryptographic Protection Implementation For Message Externals,The information system implements cryptographic mechanisms to protect message externals unless otherwise protected by [Assignment: organization-defined alternative physical safeguards].,Assignment: organization-defined alternative physical safeguards,Information System,,,,P1,0,0,0,0,191
1333,SC-8 (4),8 (4),1,4,Conceal / Randomize Communications,Conceal / Randomize Communications,The information system implements cryptographic mechanisms to conceal or randomize communication patterns unless otherwise protected by [Assignment: organization-defined alternative physical safeguards].,Assignment: organization-defined alternative physical safeguards,Information System,,,,P1,0,0,0,0,191
1335,SI-10,10,0,,,,The information system checks the validity of [Assignment: organization-defined information inputs].,Assignment: organization-defined information inputs,Information System,,,,P1,1,0,1,1,233
1336,SI-10 (1)(a),10 (1)(a),1,(1)(a),Manual Override Capability,Manual Override Capability,The information system provides a manual override capability for input validation of [Assignment: organization-defined inputs];,Assignment: organization-defined inputs,Information System,,,,P1,1,0,0,0,233
1337,SI-10 (1)(b),10 (1)(b),1,(1)(b),Manual Override Capability,Manual Override Capability,The information system restricts the use of the manual override capability to only [Assignment: organization-defined authorized individuals].,Assignment: organization-defined authorized individuals,Information System,,,,P1,1,0,0,0,233
1338,SI-10 (1)(c),10 (1)(c),1,(1)(c),Manual Override Capability,Manual Override Capability,The information system audits the use of the manual override capability.,,Information System,,,,P1,1,0,0,0,233
1339,SI-10 (2),10 (2),1,2,Review / Resolution Of Errors,Review / Resolution Of Errors,The organization ensures that input validation errors are reviewed and resolved within [Assignment: organization-defined time period].,Assignment: organization-defined time period,Organization,,,,P1,1,0,0,0,233
1340,SI-10 (3),10 (3),1,3,Predictable Behavior,Predictable Behavior,The information system behaves in a predictable and documented manner that reflects organizational and system objectives when invalid inputs are received.,,Information System,,,,P1,1,0,0,0,233
1341,SI-10 (4),10 (4),1,4,Review / Timing Interactions,Review / Timing Interactions,The organization accounts for timing interactions among information system components in determining appropriate responses for invalid inputs.,,Organization,,,,P1,1,0,0,0,233
1342,SI-10 (5),10 (5),1,5,Restrict Inputs To Trusted Sources And Approved Formats,Restrict Inputs To Trusted Sources And Approved Formats,The organization restricts the use of information inputs to [Assignment: organization-defined trusted sources] and/or [Assignment: organization-defined formats].,Assignment: organization-defined trusted sources,Organization,,,,P1,1,0,0,0,233
1344,SI-11a,11a,0,,,,The information system generates error messages that provide information necessary for corrective actions without revealing information that could be exploited by adversaries.,,Information System,,,,P2,0,0,1,1,234
1345,SI-11b,11b,0,,,,The information system reveals error messages only to [Assignment: organization-defined personnel or roles].,Assignment: organization-defined personnel or roles,Information System,,,,P2,0,0,1,1,234
1346,SI-12,12,0,,,,"The organization handles and retains information within the information system and information output from the system in accordance with applicable federal laws, Executive Orders, directives, policies, regulations, standards, and operational requirements.",,Organization,,,,P2,0,1,1,1,235
1348,SI-13 (1),13 (1),1,1,Transferring Component Responsibilities,Transferring Component Responsibilities,The organization takes information system components out of service by transferring component responsibilities to substitute components no later than [Assignment: organization-defined fraction or percentage] of mean time to failure.,Assignment: organization-defined fraction or percentage,Organization,,,,P0,1,0,0,0,236
1349,SI-13 (3),13 (3),1,3,Manual Transfer Between Components,Manual Transfer Between Components,The organization manually initiates transfers between active and standby information system components [Assignment: organization-defined frequency] if the mean time to failure exceeds [Assignment: organization-defined time period].,Assignment: organization-defined frequency,Organization,,,,P0,1,0,0,0,236
1350,SI-13 (4)(a),13 (4)(a),1,(4)(a),Standby Component Installation / Notification,Standby Component Installation / Notification,"The organization, if information system component failures are detected ensures that the standby components are successfully and transparently installed within [Assignment: organization-defined time period].",Assignment: organization-defined time period,Organization,,,,P0,1,0,0,0,236
1351,SI-13 (4)(b),13 (4)(b),1,(4)(b),Standby Component Installation / Notification,Standby Component Installation / Notification,"The organization, if information system component failures are detected [Selection (one or more): activates [Assignment: organization-defined alarm]; automatically shuts down the information system].",Selection (one or more): activates [Assignment: organization-defined alarm,Organization,,,,P0,1,0,0,0,236
1352,SI-13 (5),13 (5),1,5,Failover Capability,Failover Capability,The organization provides [Selection: real-time; near real-time] [Assignment: organization-defined failover capability] for the information system.,Selection: real-time; near real-time,Organization,,,,P0,1,0,0,0,236
1353,SI-13a,13a,0,,,,The organization determines mean time to failure (MTTF) for [Assignment: organization-defined information system components] in specific environments of operation.,Assignment: organization-defined information system components,Organization,,,,P0,1,0,0,0,236
1354,SI-13b,13b,0,,,,The organization provides substitute information system components and a means to exchange active and standby components at [Assignment: organization-defined MTTF substitution criteria].,Assignment: organization-defined MTTF substitution criteria,Organization,,,,P0,1,0,0,0,236
1355,SI-14,14,0,,,,The organization implements non-persistent [Assignment: organization-defined information system components and services] that are initiated in a known state and terminated [Selection (one or more): upon end of session of use; periodically at [Assignment: organizationdefined frequency]].,Assignment: organization-defined information system components and services,Organization,,,,P0,1,0,0,0,237
1356,SI-14 (1),14 (1),1,1,Refresh From Trusted Sources,Refresh From Trusted Sources,The organization ensures that software and data employed during information system component and service refreshes are obtained from [Assignment: organization-defined trusted sources].,Assignment: organization-defined trusted sources,Organization,,,,P0,1,0,0,0,237
1357,SI-15,15,0,,,,The information system validates information output from [Assignment: organization-defined software programs and/or applications] to ensure that the information is consistent with the expected content.,Assignment: organization-defined software programs and/or applications,Information System,,,,P0,1,0,0,0,238
1358,SI-16,16,0,,,,The information system implements [Assignment: organization-defined security safeguards] to protect its memory from unauthorized code execution.,Assignment: organization-defined security safeguards,Information System,,,,P1,1,0,1,1,239
1359,SI-17,17,0,,,,The information system implements [Assignment: organization-defined fail-safe procedures] when [Assignment: organization-defined failure conditions occur].,Assignment: organization-defined fail-safe procedures,Information System,,,,P0,1,0,0,0,240
1360,SI-1a.1,1a.1,0,,,,"The organization develops, documents, and disseminates to [Assignment: organization-defined personnel or roles] a system and information integrity policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance.",Assignment: organization-defined personnel or roles,Organization,,,,P1,1,1,1,1,225
1361,SI-1a.2,1a.2,0,,,,"The organization develops, documents, and disseminates to [Assignment: organization-defined personnel or roles] procedures to facilitate the implementation of the system and information integrity policy and associated system and information integrity controls.",Assignment: organization-defined personnel or roles,Organization,,,,P1,1,1,1,1,225
1362,SI-1b.1,1b.1,0,,,,The organization reviews and updates the current system and information integrity policy [Assignment: organization-defined frequency].,Assignment: organization-defined frequency,Organization,,,,P1,1,1,1,1,225
1363,SI-1b.2,1b.2,0,,,,The organization reviews and updates the current system and information integrity procedures [Assignment: organization-defined frequency].,Assignment: organization-defined frequency,Organization,,,,P1,1,1,1,1,225
1365,SI-2 (1),2 (1),1,1,Central Management,Central Management,The organization centrally manages the flaw remediation process.,,Organization,,,,P1,0,0,0,1,226
1366,SI-2 (2),2 (2),1,2,Automated Flaw Remediation Status,Automated Flaw Remediation Status,The organization employs automated mechanisms [Assignment: organization-defined frequency] to determine the state of information system components with regard to flaw remediation.,Assignment: organization-defined frequency,Organization,,,,P1,0,0,1,1,226
1367,SI-2 (3)(a),2 (3)(a),1,(3)(a),Time To Remediate Flaws / Benchmarks For Corrective Actions,Time To Remediate Flaws / Benchmarks For Corrective Actions,The organization measures the time between flaw identification and flaw remediation.,,Organization,,,,P1,0,0,0,0,226
1368,SI-2 (3)(b),2 (3)(b),1,(3)(b),Time To Remediate Flaws / Benchmarks For Corrective Actions,Time To Remediate Flaws / Benchmarks For Corrective Actions,The organization establishes [Assignment: organization-defined benchmarks] for taking corrective actions.,Assignment: organization-defined benchmarks,Organization,,,,P1,0,0,0,0,226
1369,SI-2 (5),2 (5),1,5,Automatic Software / Firmware Updates,Automatic Software / Firmware Updates,The organization installs [Assignment: organization-defined security-relevant software and firmware updates] automatically to [Assignment: organization-defined information system components].,Assignment: organization-defined security-relevant software and firmware updates,Organization,,,,P1,0,0,0,0,226
1370,SI-2 (6),2 (6),1,6,Removal Of Previous Versions Of Software / Firmware,Removal Of Previous Versions Of Software / Firmware,The organization removes [Assignment: organization-defined software and firmware components] after updated versions have been installed.,Assignment: organization-defined software and firmware components,Organization,,,,P1,0,0,0,0,226
1371,SI-2a,2a,0,,,,"The organization identifies, reports, and corrects information system flaws;",,Organization,,,,P1,0,1,1,1,226
1372,SI-2b,2b,0,,,,The organization tests software and firmware updates related to flaw remediation for effectiveness and potential side effects before installation;,,Organization,,,,P1,0,1,1,1,226
1373,SI-2c,2c,0,,,,The organization installs security-relevant software and firmware updates within [Assignment: organization-defined time period] of the release of the updates.,Assignment: organization-defined time period,Organization,,,,P1,0,1,1,1,226
1374,SI-2d,2d,0,,,,The organization incorporates flaw remediation into the organizational configuration management process.,,Organization,,,,P1,0,1,1,1,226
1376,SI-3 (1),3 (1),1,1,Central Management,Central Management,The organization centrally manages malicious code protection mechanisms.,,Organization,,,,P1,0,0,1,1,227
1377,SI-3 (10)(a),3 (10)(a),1,(10)(a),Malicious Code Analysis,Malicious Code Analysis,The organization employs [Assignment: organization-defined tools and techniques] to analyze the characteristics and behavior of malicious code.,Assignment: organization-defined tools and techniques,Organization,,,,P1,0,0,0,0,227
1378,SI-3 (10)(b),3 (10)(b),1,(10)(b),Malicious Code Analysis,Malicious Code Analysis,The organization incorporates the results from malicious code analysis into organizational incident response and flaw remediation processes.,,Organization,,,,P1,0,0,0,0,227
1379,SI-3 (2),3 (2),1,2,Automatic Updates,Automatic Updates,The information system automatically updates malicious code protection mechanisms.,,Information System,,,,P1,0,0,1,1,227
1380,SI-3 (4),3 (4),1,4,Updates Only By Privileged Users,Updates Only By Privileged Users,The information system updates malicious code protection mechanisms only when directed by a privileged user.,,Information System,,,,P1,0,0,0,0,227
1381,SI-3 (6)(a),3 (6)(a),1,(6)(a),Testing / Verification,Testing / Verification,"The organization tests malicious code protection mechanisms [Assignment: organization-defined frequency] by introducing a known benign, non-spreading test case into the information system.",Assignment: organization-defined frequency,Organization,,,,P1,0,0,0,0,227
1382,SI-3 (6)(b),3 (6)(b),1,(6)(b),Testing / Verification,Testing / Verification,The organization verifies that both detection of the test case and associated incident reporting occur.,,Organization,,,,P1,0,0,0,0,227
1383,SI-3 (7),3 (7),1,7,Nonsignature-Based Detection,Nonsignature-Based Detection,The information system implements nonsignature-based malicious code detection mechanisms.,,Information System,,,,P1,0,0,0,0,227
1384,SI-3 (8),3 (8),1,8,Detect Unauthorized Commands,Detect Unauthorized Commands,The information system detects [Assignment: organization-defined unauthorized operating system commands] through the kernel application programming interface at [Assignment: organizationdefined information system hardware components] and [Selection (one or more): issues a warning; audits the command execution; prevents the execution of the command].,Assignment: organization-defined unauthorized operating system commands,Information System,,,,P1,0,0,0,0,227
1385,SI-3 (9),3 (9),1,9,Authenticate Remote Commands,Authenticate Remote Commands,The information system implements [Assignment: organization-defined security safeguards] to authenticate [Assignment: organization-defined remote commands].,Assignment: organization-defined security safeguards,Information System,,,,P1,0,0,0,0,227
1386,SI-3a,3a,0,,,,The organization employs malicious code protection mechanisms at information system entry and exit points to detect and eradicate malicious code;,,Organization,,,,P1,0,1,1,1,227
1387,SI-3b,3b,0,,,,The organization updates malicious code protection mechanisms whenever new releases are available in accordance with organizational configuration management policy and procedures;,,Organization,,,,P1,0,1,1,1,227
